10 3.375e-06
20 2.0542e-05
30 3.8e-05
40 7.9875e-05
50 0.000147125
60 0.000254834
70 0.00041275
80 0.000599333
90 0.00086575
100 0.00111546
110 0.00160662
120 0.0028525
130 0.00296129
140 0.00364942
150 0.00379554
160 0.00419737
170 0.00463717
180 0.00508954
190 0.00551567
200 0.00604392
210 0.00659983
220 0.00704688
230 0.00768062
240 0.00826142
250 0.00894779
260 0.00989883
270 0.0104763
280 0.011653
290 0.0128324
300 0.0141426
310 0.0156183
320 0.0171673
330 0.0191025
340 0.0206729
350 0.0223087
360 0.0243045
370 0.0263204
380 0.0284231
390 0.0308249
400 0.0330986
410 0.0356565
420 0.0382888
430 0.0413366
440 0.0444895
450 0.047506
460 0.0509055
470 0.0539919
480 0.0573726
490 0.0608933
500 0.0648253
