0.1 2.25271
0.2 1.52406
0.3 1.0958
0.4 0.796678
0.5 0.572363
0.6 0.398232
0.7 0.260871
0.8 0.15206
0.9 0.0663775
1 0
1.1 -0.0498722
1.2 -0.0853738
1.3 -0.108174
1.4 -0.119613
1.5 -0.120782
1.6 -0.112592
1.7 -0.0958074
1.8 -0.0710836
1.9 -0.0389841
2 0
2.1 0.0454417
2.2 0.0969452
2.3 0.154188
2.4 0.21686
2.5 0.284683
2.6 0.357409
2.7 0.434823
2.8 0.516702
2.9 0.602872
3 0.693147
3.1 0.787375
3.2 0.885407
3.3 0.9871
3.4 1.09233
3.5 1.20097
3.6 1.31292
3.7 1.42807
3.8 1.54632
3.9 1.66758
4 1.79176
4.1 1.91878
4.2 2.04856
4.3 2.18102
4.4 2.3161
4.5 2.45373
4.6 2.59386
4.7 2.7364
4.8 2.88133
4.9 3.02856
5 3.17805
5.1 3.32977
5.2 3.48364
5.3 3.63964
5.4 3.79771
5.5 3.95781
5.6 4.11991
5.7 4.28397
5.8 4.44994
5.9 4.61779
6 4.78749
6.1 4.95901
6.2 5.1323
6.3 5.30734
6.4 5.48411
6.5 5.66256
6.6 5.84268
6.7 6.02443
6.8 6.2078
6.9 6.39274
7 6.57925
7.1 6.76729
7.2 6.95685
7.3 7.14789
7.4 7.34041
7.5 7.53436
7.6 7.72975
7.7 7.92654
7.8 8.12472
7.9 8.32427
8 8.52516
8.1 8.72739
8.2 8.93093
8.3 9.13577
8.4 9.34189
8.5 9.54927
8.6 9.7579
8.7 9.96776
8.8 10.1788
8.9 10.3911
9 10.6046
9.1 10.8193
9.2 11.0351
9.3 11.252
9.4 11.4701
9.5 11.6893
9.6 11.9097
9.7 12.1311
9.8 12.3536
9.9 12.5772
